Day,CheckOut,CheckIn,,bookings,date
Sunday,152864,95926,,147391,24-07-2022
Monday,87686,117411,,177116,25-07-2022
Tuesday,84404,104068,,196780,26-07-2022
Wednesday,100825,106396,,202351,27-07-2022
Thursday,115491,115386,,202246,28-07-2022
Friday,128246,160910,,234910,29-07-2022
Saturday,116754,139109,,257265,30-07-2022
Sunday,193855,113012,,176422,31-07-2022
Monday,104605,131576,,203393,01-08-2022
Tuesday,94863,113666,,222196,02-08-2022
Wednesday,110494,115462,,227164,03-08-2022
Thursday,126914,124663,,224913,04-08-2022
Friday,140832,176029,,260110,05-08-2022
Saturday,126816,145798,,279092,06-08-2022
Sunday,207688,113809,,185213,07-08-2022
Monday,105769,139066,,218510,08-08-2022
Tuesday,99752,118571,,237329,09-08-2022
Wednesday,117284,124359,,244404,10-08-2022
Thursday,136427,126881,,234858,11-08-2022
Friday,146669,182433,,270622,12-08-2022
Saturday,130205,155148,,295565,13-08-2022
Sunday,217962,121590,,199193,14-08-2022
Monday,114208,145554,,230539,15-08-2022
Tuesday,105601,126837,,251775,16-08-2022
Wednesday,123035,126517,,255257,17-08-2022
Thursday,141406,133696,,247547,18-08-2022
Friday,154013,191019,,284553,19-08-2022
Saturday,135683,158626,,307496,20-08-2022
Sunday,231061,118224,,194659,21-08-2022
Monday,109414,145364,,230609,22-08-2022
Tuesday,101076,123909,,253442,23-08-2022
Wednesday,120653,121751,,254540,24-08-2022
Thursday,138784,125780,,241536,25-08-2022
Friday,149312,184763,,276987,26-08-2022
Saturday,128697,154643,,302933,27-08-2022
Sunday,223789,110795,,189939,28-08-2022
Monday,105322,135843,,220460,29-08-2022
Tuesday,98359,115937,,238038,30-08-2022
Wednesday,121787,114904,,231155,31-08-2022
Thursday,132957,101125,,199323,01-09-2022
Friday,115451,167985,,251857,02-09-2022
Saturday,89486,130222,,292593,03-09-2022
Sunday,154977,64250,,201866,04-09-2022
Monday,148029,47313,,101150,05-09-2022
Tuesday,46986,68333,,122497,06-09-2022
Wednesday,44373,54903,,133027,07-09-2022
Thursday,57510,59491,,135008,08-09-2022
Friday,69808,99922,,165122,09-09-2022
Saturday,58812,70400,,176710,10-09-2022
Sunday,124108,52269,,104871,11-09-2022
Monday,48251,59723,,116343,12-09-2022
Tuesday,35107,43724,,124960,13-09-2022
Wednesday,45042,42805,,122723,14-09-2022
Thursday,52923,50413,,120213,15-09-2022
Friday,61843,87786,,146156,16-09-2022
Saturday,49478,59553,,156231,17-09-2022
Sunday,110228,42562,,88565,18-09-2022
Monday,41630,43997,,90932,19-09-2022
Tuesday,28054,33113,,95991,20-09-2022
Wednesday,33679,34006,,96318,21-09-2022
Thursday,40034,42382,,98666,22-09-2022
Friday,48596,76963,,127033,23-09-2022
Saturday,41541,47741,,133233,24-09-2022
Sunday,93757,31695,,71171,25-09-2022
Monday,35278,31904,,67797,26-09-2022
Tuesday,21395,25426,,71828,27-09-2022
Wednesday,24778,27224,,74274,28-09-2022
Thursday,30021,35389,,79642,29-09-2022
Friday,39374,64184,,104452,30-09-2022
